ts_iso,iteration,t_sign_ms,t_authorize_ms,decision,reason
2026-02-07T20:27:42Z,1,0.106,10.327,allow,authorized
2026-02-07T20:27:42Z,2,0.067,6.919,allow,authorized
2026-02-07T20:27:42Z,3,0.067,3.543,allow,authorized
2026-02-07T20:27:42Z,4,0.065,4.634,allow,authorized
2026-02-07T20:27:42Z,5,0.067,3.459,allow,authorized
2026-02-07T20:27:42Z,6,0.064,3.922,allow,authorized
2026-02-07T20:27:42Z,7,0.072,3.538,allow,authorized
2026-02-07T20:27:42Z,8,0.063,4.890,allow,authorized
2026-02-07T20:27:42Z,9,0.070,7.733,allow,authorized
2026-02-07T20:27:42Z,10,0.080,3.288,allow,authorized
2026-02-07T20:27:42Z,11,0.067,3.586,allow,authorized
2026-02-07T20:27:42Z,12,0.066,4.029,allow,authorized
2026-02-07T20:27:42Z,13,0.065,3.310,allow,authorized
2026-02-07T20:27:42Z,14,0.064,3.257,allow,authorized
2026-02-07T20:27:42Z,15,0.063,3.433,allow,authorized
2026-02-07T20:27:42Z,16,0.064,5.146,allow,authorized
2026-02-07T20:27:42Z,17,0.068,3.194,allow,authorized
2026-02-07T20:27:42Z,18,0.060,3.148,allow,authorized
2026-02-07T20:27:43Z,19,0.069,3.013,allow,authorized
2026-02-07T20:27:43Z,20,0.062,3.367,allow,authorized
2026-02-07T20:27:43Z,21,0.066,3.230,allow,authorized
2026-02-07T20:27:43Z,22,0.065,3.092,allow,authorized
2026-02-07T20:27:43Z,23,0.064,3.435,allow,authorized
2026-02-07T20:27:43Z,24,0.064,26.343,allow,authorized
2026-02-07T20:27:43Z,25,0.060,2.920,allow,authorized
2026-02-07T20:27:43Z,26,0.063,2.707,allow,authorized
2026-02-07T20:27:43Z,27,0.067,3.579,allow,authorized
2026-02-07T20:27:43Z,28,0.087,9.058,allow,authorized
2026-02-07T20:27:43Z,29,0.084,83.648,allow,authorized
2026-02-07T20:27:43Z,30,0.066,3.659,allow,authorized
2026-02-07T20:27:43Z,31,0.066,3.033,allow,authorized
2026-02-07T20:27:43Z,32,0.100,3.432,allow,authorized
2026-02-07T20:27:43Z,33,0.066,3.608,allow,authorized
2026-02-07T20:27:43Z,34,0.067,3.070,allow,authorized
2026-02-07T20:27:43Z,35,0.064,3.401,allow,authorized
2026-02-07T20:27:43Z,36,0.069,3.755,allow,authorized
2026-02-07T20:27:43Z,37,0.065,3.449,allow,authorized
2026-02-07T20:27:43Z,38,0.072,4.450,allow,authorized
2026-02-07T20:27:43Z,39,0.071,4.154,allow,authorized
2026-02-07T20:27:43Z,40,0.064,4.042,allow,authorized
2026-02-07T20:27:43Z,41,0.068,58.069,allow,authorized
2026-02-07T20:27:43Z,42,0.068,3.244,allow,authorized
2026-02-07T20:27:43Z,43,0.067,3.531,allow,authorized
2026-02-07T20:27:43Z,44,0.068,5.036,allow,authorized
2026-02-07T20:27:43Z,45,0.067,3.417,allow,authorized
2026-02-07T20:27:43Z,46,0.072,4.955,allow,authorized
2026-02-07T20:27:43Z,47,0.066,3.946,allow,authorized
2026-02-07T20:27:43Z,48,0.065,3.300,allow,authorized
2026-02-07T20:27:43Z,49,0.069,2.934,allow,authorized
2026-02-07T20:27:43Z,50,0.067,3.012,allow,authorized
2026-02-07T20:27:43Z,51,0.067,3.228,allow,authorized
2026-02-07T20:27:43Z,52,0.064,7.581,allow,authorized
2026-02-07T20:27:43Z,53,0.070,3.053,allow,authorized
2026-02-07T20:27:43Z,54,0.102,6.340,allow,authorized
2026-02-07T20:27:43Z,55,0.064,4.608,allow,authorized
2026-02-07T20:27:43Z,56,0.105,3.393,allow,authorized
2026-02-07T20:27:43Z,57,0.072,3.277,allow,authorized
2026-02-07T20:27:43Z,58,0.066,3.434,allow,authorized
2026-02-07T20:27:43Z,59,0.070,5.377,allow,authorized
2026-02-07T20:27:43Z,60,0.067,24.495,allow,authorized
2026-02-07T20:27:43Z,61,0.069,2.884,allow,authorized
2026-02-07T20:27:43Z,62,0.065,3.258,allow,authorized
2026-02-07T20:27:43Z,63,0.064,3.106,allow,authorized
2026-02-07T20:27:43Z,64,0.068,3.263,allow,authorized
2026-02-07T20:27:43Z,65,0.096,4.706,allow,authorized
2026-02-07T20:27:43Z,66,0.067,3.006,allow,authorized
2026-02-07T20:27:43Z,67,0.060,2.963,allow,authorized
2026-02-07T20:27:43Z,68,0.142,3.064,allow,authorized
2026-02-07T20:27:43Z,69,0.082,3.443,allow,authorized
2026-02-07T20:27:43Z,70,0.063,3.135,allow,authorized
